rho_R_multiset_key,rule,class_count,geometry_false,geometry_true
"Q2:0,0|1,1::R=0,0;Q2:0,1|1,0::R=0,1;Q3:0,0,0|1,0,1|1,1,1::R=0,0,0;Q3:0,1,0|1,0,0|1,0,1|1,1,1::R=0,1,0",constant_false,4,4,0
"Q2:0,0|1,1::R=0,0;Q2:0,1|1,0::R=0,1;Q3:0,0,0|1,1,0::R=0,0,0",constant_false,4,4,0
"Q2:0,0|1,1::R=0,0;Q2:0,1|1,0::R=0,1;Q3:0,0,0|1,1,0::R=0,0,0;Q3:0,0,1|1,0,0|1,1,0|1,1,1::R=0,0,1",constant_false,14,14,0
"Q2:0,0|1,1::R=0,0;Q2:0,1|1,0::R=0,1;Q3:0,0,0|1,1,0|1,1,1::R=0,0,0;Q3:0,0,1|1,0,0|1,1,0|1,1,1::R=0,0,1",constant_false,4,4,0
"Q2:0,0|1,1::R=0,0;Q2:0,1|1,0::R=0,1;Q3:0,0,1|0,1,0|1,1,0|1,1,1::R=0,0,1",constant_false,26,26,0
"Q2:0,0|1,1::R=0,0;Q2:0,1|1,0::R=0,1;Q3:0,0,1|1,0,0|1,1,0|1,1,1::R=0,0,1",constant_false,408,408,0
"Q2:0,0|1,1::R=0,0;Q2:0,1|1,0::R=1,0",constant_false,6,6,0
"Q2:0,0|1,1::R=0,0;Q2:0,1|1,0::R=1,0;Q3:0,0,0|0,1,0|1,0,1::R=0,0,0|0,1,0;Q3:0,0,1|0,1,0::R=0,1,0",constant_false,3,3,0
"Q2:0,0|1,1::R=0,0;Q2:0,1|1,0::R=1,0;Q3:0,0,0|0,1,0|1,0,1::R=0,0,0|0,1,0;Q3:0,0,1|0,1,0|1,0,1::R=0,1,0",constant_false,3,3,0
"Q2:0,0|1,1::R=0,0;Q2:0,1|1,0::R=1,0;Q3:0,0,0|0,1,1|1,0,0|1,0,1::R=0,0,0|1,0,0|1,0,1",constant_false,26,26,0
"Q2:0,0|1,1::R=0,0;Q2:0,1|1,0::R=1,0;Q3:0,0,1|0,1,1|1,0,0|1,1,1::R=1,0,0",constant_false,1,1,0
"Q2:0,0|1,1::R=0,0;Q3:0,0,0|0,0,1|1,1,0::R=0,0,0|0,0,1",constant_false,16,16,0
"Q2:0,0|1,1::R=0,0;Q3:0,0,0|0,1,0|1,0,1::R=0,0,0|0,1,0",constant_false,193,193,0
"Q2:0,0|1,1::R=0,0;Q3:0,0,0|0,1,1|1,1,1::R=0,0,0",constant_false,25,25,0
"Q2:0,0|1,1::R=0,0;Q3:0,0,0|1,0,1::R=0,0,0",constant_false,292,292,0
"Q2:0,0|1,1::R=0,0;Q3:0,0,0|1,0,1::R=0,0,0;Q3:0,1,0|1,0,1|1,1,1::R=0,1,0",constant_false,6,6,0
"Q2:0,0|1,1::R=0,0;Q3:0,0,0|1,0,1|1,1,1::R=0,0,0",constant_false,60,60,0
"Q2:0,0|1,1::R=0,0;Q3:0,0,0|1,1,0::R=0,0,0",constant_false,183,183,0
"Q2:0,0|1,1::R=0,0;Q3:0,0,0|1,1,0::R=0,0,0;Q3:0,0,1|1,1,1::R=0,0,1",constant_false,2,2,0
"Q2:0,0|1,1::R=0,0;Q3:0,0,0|1,1,0|1,1,1::R=0,0,0",constant_false,46,46,0
"Q2:0,0|1,1::R=0,0;Q3:0,0,1|1,1,0|1,1,1::R=0,0,1",constant_false,30,30,0
"Q2:0,0|1,1::R=0,0;Q3:0,0,1|1,1,1::R=0,0,1",constant_false,435,435,0
"Q2:0,0|1,1::R=0,0;Q3:0,1,1|1,0,0|1,1,1::R=1,0,0",constant_false,3,3,0
"Q2:0,0|1,1::R=1,1",constant_false,4726,4726,0
"Q2:0,0|1,1::R=1,1;Q2:0,0|1,1::R=1,1;Q3:0,0,0|0,0,1|1,1,0|1,1,1::R=1,1,0|1,1,1",constant_false,15,15,0
"Q2:0,0|1,1::R=1,1;Q2:0,0|1,1::R=1,1;Q3:0,0,0|0,1,0|1,0,1|1,1,1::R=1,0,1|1,1,1",constant_false,96,96,0
"Q2:0,0|1,1::R=1,1;Q2:0,1|1,0::R=0,1",constant_false,12,12,0
"Q2:0,0|1,1::R=1,1;Q2:0,1|1,0::R=0,1;Q3:0,0,0|0,1,0|1,0,1|1,1,0::R=1,0,1",constant_false,13,13,0
"Q2:0,0|1,1::R=1,1;Q2:0,1|1,0::R=0,1;Q3:0,0,0|0,1,1|1,0,0|1,0,1::R=0,1,1",constant_false,26,26,0
"Q2:0,0|1,1::R=1,1;Q2:0,1|1,0::R=0,1;Q3:0,0,0|0,1,1|1,0,0|1,1,0::R=0,1,1",constant_false,2,2,0
"Q2:0,0|1,1::R=1,1;Q2:0,1|1,0::R=0,1;Q3:0,0,1|0,1,1|1,0,0|1,1,1::R=0,0,1|0,1,1|1,1,1",constant_false,9,9,0
"Q2:0,0|1,1::R=1,1;Q2:0,1|1,0::R=0,1;Q3:0,0,1|0,1,1|1,0,0|1,1,1::R=0,0,1|0,1,1|1,1,1;Q3:0,1,1|1,0,0|1,1,0::R=0,1,1",constant_false,1,1,0
"Q2:0,0|1,1::R=1,1;Q2:0,1|1,0::R=1,0;Q3:0,0,0|0,1,0|0,1,1|1,0,1::R=1,0,1",constant_false,240,240,0
"Q2:0,0|1,1::R=1,1;Q2:0,1|1,0::R=1,0;Q3:0,0,1|1,0,0|1,1,0|1,1,1::R=1,0,0|1,1,0|1,1,1",constant_false,21,21,0
"Q2:0,0|1,1::R=1,1;Q2:0,1|1,0::R=1,0;Q3:0,1,0|1,0,0|1,0,1|1,1,1::R=1,0,0|1,0,1|1,1,1",constant_false,108,108,0
"Q2:0,0|1,1::R=1,1;Q3:0,0,1|1,1,0|1,1,1::R=1,1,0|1,1,1",constant_false,18,18,0
"Q2:0,0|1,1::R=1,1;Q3:0,0,1|1,1,1::R=1,1,1",constant_false,14,14,0
"Q2:0,0|1,1::R=1,1;Q3:0,1,1|1,0,0|1,1,1::R=0,1,1|1,1,1",constant_false,7,7,0
"Q2:0,1|1,0::R=0,1",constant_false,14385,14385,0
"Q2:0,1|1,0::R=0,1;Q2:0,1|1,0::R=0,1",constant_false,123,123,0
"Q2:0,1|1,0::R=0,1;Q2:0,1|1,0::R=0,1;Q2:0,1|1,0::R=0,1;Q3:0,0,1|0,1,0|1,0,0|1,1,0::R=0,0,1",constant_false,12,12,0
"Q2:0,1|1,0::R=0,1;Q2:0,1|1,0::R=0,1;Q2:0,1|1,0::R=0,1;Q3:0,0,1|0,1,1|1,0,0|1,1,0::R=0,0,1|0,1,1",constant_false,6,6,0
"Q2:0,1|1,0::R=0,1;Q2:0,1|1,0::R=0,1;Q3:0,0,1|0,1,0|1,0,0|1,1,0::R=0,0,1",constant_false,24,24,0
"Q2:0,1|1,0::R=0,1;Q2:0,1|1,0::R=0,1;Q3:0,0,1|0,1,1|1,0,0|1,1,0::R=0,0,1|0,1,1",constant_false,232,232,0
